City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,11.840000000000032,69,33,6.71,CA,1693473085
1,neiafu,-18.65,-173.9833,23.689999999999998,75,69,10.27,TO,1693473088
2,waitangi,-43.9535,-176.5597,9.900000000000034,85,0,0.45,NZ,1693473093
3,grytviken,-54.2811,-36.5092,-1.8999999999999773,89,100,1.69,GS,1693473095
4,tiksi,71.6872,128.8694,1.07000000000005,74,100,8.22,RU,1693473100
5,cururupu,-1.8283,-44.8683,24.160000000000025,87,9,1.9,BR,1693473103
6,ilulissat,69.2167,-51.1,3.0100000000000477,93,75,3.09,GL,1693473105
7,enewetak,11.3474,162.3373,28.82000000000005,81,74,6.93,MH,1693473108
8,hammamet,36.4,10.6167,26.920000000000016,69,53,4.0,TN,1693473110
9,keflavik,64.0049,-22.5624,11.240000000000009,76,75,4.63,IS,1693473113
10,bredasdorp,-34.5322,20.0403,18.33000000000004,53,87,9.21,ZA,1693473115
11,hermanus,-34.4187,19.2345,17.670000000000016,69,85,9.41,ZA,1693473117
12,saudarkrokur,65.7461,-19.6394,11.390000000000043,72,97,2.4,IS,1693473120
13,sitka,57.0531,-135.33,13.939999999999998,94,100,2.57,US,1693473123
14,canutama,-6.5339,-64.3831,22.510000000000048,59,2,1.06,BR,1693473126
15,vilyuchinsk,52.9306,158.4028,15.700000000000045,77,71,4.7,RU,1693473129
16,odda,60.0691,6.5457,15.980000000000018,63,12,0.1,NO,1693473132
17,richards bay,-28.783,32.0377,25.810000000000002,45,0,6.51,ZA,1693473134
18,kodiak,57.79,-152.4072,11.730000000000018,82,100,6.69,US,1693473136
19,carnarvon,-24.8667,113.6333,23.200000000000045,64,0,4.67,AU,1693473139
20,longyearbyen,78.2186,15.6401,7.910000000000025,76,75,6.69,SJ,1693473142
21,zyrya,40.3661,50.2917,28.05000000000001,55,0,5.33,AZ,1693473144
22,ushuaia,-54.8,-68.3,-1.5199999999999818,89,80,3.25,AR,1693473147
23,butwal,27.7006,83.4484,32.08000000000004,65,26,1.46,NP,1693473114
24,port saint john's,-31.6229,29.5448,28.08000000000004,33,0,3.0,ZA,1693473152
25,port-aux-francais,-49.35,70.2167,3.07000000000005,88,91,18.89,TF,1693473154
26,edinburgh of the seven seas,-37.0676,-12.3116,11.140000000000043,60,20,8.15,SH,1693473156
27,talnakh,69.4865,88.3972,11.230000000000018,45,39,1.29,RU,1693473159
28,riversdale,18.1659,-76.9642,28.920000000000016,91,93,0.58,JM,1693473161
29,dudinka,69.4058,86.1778,11.460000000000036,37,80,7.23,RU,1693473164
30,jonava,55.0833,24.2833,20.03000000000003,87,100,1.54,LT,1693473166
31,ust'-ilimsk,58.0006,102.6619,24.010000000000048,50,100,2.67,RU,1693473169
32,santangpu,27.3987,111.9928,29.360000000000014,57,3,4.39,CN,1693473171
33,ribeira grande,38.5167,-28.7,23.220000000000027,83,40,2.24,PT,1693473174
34,timimoun,29.2639,0.231,34.210000000000036,12,0,3.09,DZ,1693473176
35,invercargill,-46.4,168.35,12.230000000000018,62,16,5.36,NZ,1693473063
36,qaqortoq,60.7167,-46.0333,5.03000000000003,91,100,1.45,GL,1693473181
37,blackmans bay,-43.0167,147.3167,9.07000000000005,75,19,5.18,AU,1693473184
38,bonthe,7.5264,-12.505,26.730000000000018,76,34,1.11,SL,1693473188
39,fale old settlement,-9.3852,-171.2468,28.410000000000025,76,13,6.83,TK,1693473191
40,kondapalle,16.6167,80.5333,35.47000000000003,41,29,3.02,IN,1693473193
41,la ronge,55.1001,-105.2842,17.140000000000043,88,20,3.6,CA,1693473196
42,hungnam,39.8317,127.6186,23.55000000000001,85,65,2.63,KP,1693473199
43,papatowai,-46.5619,169.4708,7.960000000000036,88,38,2.97,NZ,1693473201
44,bethel,41.3712,-73.414,17.189999999999998,79,0,4.12,US,1693473204
45,adamstown,-25.066,-130.1015,20.810000000000002,78,99,6.57,PN,1693473206
46,nemuro,43.3236,145.575,19.33000000000004,94,28,8.26,JP,1693473059
47,homer,59.6425,-151.5483,13.939999999999998,74,75,1.54,US,1693473211
48,arraial do cabo,-22.9661,-42.0278,19.920000000000016,88,0,2.06,BR,1693473213
49,stanley,54.868,-1.6985,15.29000000000002,76,0,1.03,GB,1693473164
50,puerto natales,-51.7236,-72.4875,2.910000000000025,77,100,6.32,CL,1693473218
51,atafu village,-8.5421,-172.5159,28.620000000000005,76,14,6.6,TK,1693473221
52,lospalos,-8.5186,127.0025,22.710000000000036,69,7,3.62,TL,1693473201
